Project Name ,test file,classes,path
archiva,RepositoryProviderMock.java,RepositoryProviderMock,archiva/archiva-modules/archiva-base/archiva-repository-layer/src/test/java/org/apache/archiva/repository/mock/RepositoryProviderMock.java
archiva,ManagedRepositoryContentMock.java,ManagedRepositoryContentMock,archiva/archiva-modules/archiva-base/archiva-repository-scanner/src/test/java/org/apache/archiva/repository/scanner/mock/ManagedRepositoryContentMock.java
archiva,MockStorage.java,MockStorage,archiva/archiva-modules/archiva-base/archiva-storage-api/src/test/java/org/apache/archiva/repository/storage/mock/MockStorage.java
archiva,MockRepositoryArchivaTaskScheduler.java,MockRepositoryArchivaTaskScheduler,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/metadata/repository/MockRepositoryArchivaTaskScheduler.java
archiva,ArchivaIndexManagerMock.java,ArchivaIndexManagerMock,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/repository/ArchivaIndexManagerMock.java
archiva,ManagedRepositoryContentMock.java,ManagedRepositoryContentMock,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/repository/ManagedRepositoryContentMock.java
archiva,RemoteRepositoryContentMock.java,RemoteRepositoryContentMock,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/repository/RemoteRepositoryContentMock.java
archiva,RepositoryContentProviderMock.java,RepositoryContentProviderMock,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/repository/RepositoryContentProviderMock.java
archiva,RepositoryProviderMock.java,RepositoryProviderMock,archiva/archiva-modules/archiva-maven/archiva-maven-proxy/src/test/java/org/apache/archiva/maven/proxy/mock/repository/RepositoryProviderMock.java
archiva,MockWagon.java,MockWagon,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/metadata/storage/MockWagon.java
archiva,ArchivaIndexManagerMock.java,ArchivaIndexManagerMock,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/mock/ArchivaIndexManagerMock.java
archiva,MockRepoAdmin.java,MockRepoAdmin,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/mock/configuration/MockRepoAdmin.java
archiva,MavenIndexContextMock.java,MavenIndexContextMock,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/mock/MavenIndexContextMock.java
archiva,MockRepositoryArchivaTaskScheduler.java,MockRepositoryArchivaTaskScheduler,archiva/archiva-modules/archiva-maven/archiva-maven-repository/src/test/java/org/apache/archiva/maven/repository/mock/MockRepositoryArchivaTaskScheduler.java
